1,"26-27 GLIA Endorsement - Increased Receipts to $3,750,000.pdf",NULL,26-27 CPKG Binder.pdf,26-27 GLIA - Quote - Central La Ins- Revised.pdf,"26-27 WCOM LWCC $38,497.pdf",26-27 GLIA Policy.pdf,31425 CPKG Endt- AI added -Greenwell Springs Center.pdf,25-26 WC Policy.pdf,26-27 GLIA Signed App.pdf
2,26-27 CPKG Premium Change Notice Effective 2026-03-15 Reductions in Coverage.pdf,NULL,26-27 PROF Binder.pdf,26-27 PROP - Quote - Central La Ins- Revised.pdf,26-27 GLIAPROPCWIN Proposal.docx,26-27 PROP Policy.pdf,25-26 GLIA Endt - Remove 809 W Main St - Location sold.pdf,25-26 BOP Renewal Policy.pdf,26-27 PROP Signed App.pdf
3,POL Policy (un-specified).pdf,NULL,26-27 GLIA Binder.pdf,26-27 CPKG Signed Quote.pdf,25-26 CPKG Signed Proposal.pdf,26-27 CPKG POLICY.pdf,"25-26 WCOM Endorsement - Amended State LA; Code 8006 STORECONVENIENCE - RETAIL; Payroll $38,675.pdf",25-26 GLIA policy.pdf,26-27 CPKG Signed Accord.pdf
4,26-27 BRSK Endorsement-Vermilion Parish Hospital Service District No 2.pdf,NULL,26-27 GLIA Binder.pdf,26-27 Renewal Quote.pdf,26-27 PROP signed proposal.pdf,26-27 WCOM Policy.pdf,22825 CPKG Signed Change- Remove BPP coverage.pdf,25-26 FIRE Policy.pdf,2026 GLIA Signed App.pdf
5,"26-27 WCOM Endorsement - Added Additional insured, LA class code 8107 with 0 payroll.pdf",NULL,26-27 CUMB Binder.pdf,2026 GLIA Signed Quote.pdf,25-26 CPKG Signed Proposal.pdf,26-27 WCOM Policy - Insured Copy.pdf,22825 CPKG Endt- Amended Limitsexposures.pdf,25- 26 GLIA Policy.pdf,26-27 WCOM Signed Accord.pdf
6,26-27 GLIA Endt - Update location address.pdf,NULL,26-27 CPKG Binder.pdf,26-27 SIGNED WCOM REN QTE - HBSIF.pdf,26-27 PROP signed proposal.pdf,2026 GLIA Policy.pdf,25-26 CPKG Endt - Remove Property Coverage - Agent Copy.pdf,25-26 BOP Policy.pdf,26-27 CPKG Signed App.pdf
7,26-27 CPKG Premium Change Effective 030126- will increase to a change in rates or premium modificati.pdf,NULL,26-27 CPKG Binder.pdf,26-27 WCOM Signed Quote.pdf,25-26 CPKG & LIQL Proposal.pdf,26-27 BOP Policy.pdf,22825 CUMB Endt- Amended Limitsexposures.pdf,25-26 CPKG Policy.pdf,26-27 CFLD signed app.pdf
8,26-27 CUMB Endt Correcting Forms & Endorsements.pdf,NULL,26-27 WCOM Binder.pdf,26-27 CFLD Wright Flood quote.pdf,LA Custom Airboats LLC WCOM Proposal.pdf,26-27 WCOM Policy.pdf,Policy Activity Agent PDF for Policy USO56912765 Activity 1.pdf,25-26 BOP Policy.pdf,26-27 XS FLD signed app.pdf
9,26-27 WCOM ENDT- Amend named insured.pdf,NULL,Attachment.pdf,26-27 XS FLOOD Signed Qte.pdf,25-26 PROPGLIA Signed Proposal.pdf,26-27 WCOM Policy.pdf,25-26 FIRE Eff 3272025 Change NI to personal name.pdf,25-26 CPKG Policy.pdf,26-27 PROF Signed Accord.pdf
10,25-26 BAUT Endt - Add 2019 Ford F250 #39290.pdf,NULL,26-27 CPKG EQFL Binder - Gridiron.pdf,26-27 GL Signed Quote.pdf,25-26 CPKG & LIQR Proposal.pdf,26-27 GLIA Policy.pdf,25-26 WCOM Endorsement - DEL NI & 8748 code.pdf,RWL Renewal Image 43SBAAW8EP1 BOP Effective 2025-03-14 Agent Policy Delivery Required.pdf,26-27 GL Signed App.pdf
